;line;order;counter_start;counter_end;shift;puco_code;sheets;date_stop;status;minutes
61;LZ-01;10163;599;42546;1;OGE04;0;2021-03-20 13:05:22;STOP;0 days 00:00:22
62;LZ-01;10163;645;47222;1;RUN;4676;2021-03-20 13:13:49;RUN;0 days 00:08:27
63;LZ-01;10163;645;47222;1;OGE04;0;2021-03-20 13:15:35;STOP;0 days 00:01:46
64;LZ-01;10163;645;47316;1;RUN;94;2021-03-20 13:15:42;RUN;0 days 00:00:07
65;LZ-01;10163;645;47316;1;OGE04;0;2021-03-20 13:15:48;STOP;0 days 00:00:06
66;LZ-01;10163;650;47584;1;RUN;268;2021-03-20 13:16:07;RUN;0 days 00:00:19
67;LZ-01;10163;650;47584;1;OGE04;0;2021-03-20 13:17:11;STOP;0 days 00:01:04
68;LZ-01;10163;733;53258;1;RUN;5674;2021-03-20 13:31:43;RUN;0 days 00:14:32
69;LZ-01;10163;733;53258;1;OGE04;0;2021-03-20 13:56:20;STOP;0 days 00:24:37
70;LZ-01;10163;733;53280;1;RUN;22;2021-03-20 13:56:25;RUN;0 days 00:00:05
71;LZ-01;10163;733;53280;1;OGE04;0;2021-03-20 13:57:18;STOP;0 days 00:00:53
72;LZ-01;10163;806;60802;1;RUN;7522;2021-03-20 14:09:57;RUN;0 days 00:12:39
73;LZ-01;10163;806;60802;1;OGE09;0;2021-03-20 14:31:12;STOP;0 days 00:21:15
74;LZ-01;10163;806;60802;1;RUN;0;2021-03-20 14:31:23;RUN;0 days 00:00:11
75;LZ-01;10163;806;60802;1;OGE04;0;2021-03-20 14:32:04;STOP;0 days 00:00:41
76;LZ-01;10163;806;60802;1;RUN;0;2021-03-20 14:32:47;RUN;0 days 00:00:43
77;LZ-01;10163;806;60802;1;OGE04;0;2021-03-20 14:32:50;STOP;0 days 00:00:03
78;LZ-01;10163;903;66918;1;RUN;6116;2021-03-20 14:49:00;RUN;0 days 00:16:10
79;LZ-01;10163;903;66918;1;OGE04;0;2021-03-20 14:50:39;STOP;0 days 00:01:39
80;LZ-01;10163;1128;86447;1;RUN;19529;2021-03-20 15:29:43;RUN;0 days 00:39:04
81;LZ-01;10163;1128;86447;1;RUN;0;2021-03-20 15:37:26;RUN;0 days 00:07:43
82;LZ-01;10182;0;0;1;RUN;0;2021-03-20 15:37:27;RUN;0 days 00:00:01
83;LZ-01;10182;0;0;1;OGE10;0;2021-03-20 15:38:32;STOP;0 days 00:01:05
84;LZ-01;10182;0;0;1;OVI01;0;2021-03-20 15:52:10;STOP;0 days 00:13:38
85;LZ-01;10182;24;351;1;RUN;351;2021-03-20 15:56:14;RUN;0 days 00:04:04
86;LZ-01;10182;24;351;1;OGE04;0;2021-03-20 15:57:03;STOP;0 days 00:00:49
87;LZ-01;10182;302;22608;1;RUN;22257;2021-03-20 16:45:41;RUN;0 days 00:48:38
88;LZ-01;10182;302;22608;1;OGE04;0;2021-03-20 16:46:20;STOP;0 days 00:00:39
89;LZ-01;10182;606;47296;1;RUN;24688;2021-03-20 17:39:56;RUN;0 days 00:53:36
90;LZ-01;10182;606;47296;1;OGE04;0;2021-03-20 17:40:45;STOP;0 days 00:00:49
